gender,product_type,name,name_english,website_url,status
Women,Shirt,Áo thun thể thao,Performance T-Shirts,www.maisononline.vn/collections/ao-thun-the-thao-nu,published
Women,Shirt,Áo ba lỗ thể thao,Performance Tank Tops,www.maisononline.vn/collections/ao-ba-lo-nu-do-the-thao,published
Women,Shirt,Đồ bơi hai mảnh,Bikinis,www.maisononline.vn/collections/do-boi-hai-manh,published
Women,Shirt,Đồ bơi một mảnh,One-Pieces,www.maisononline.vn/collections/do-boi-mot-manh,published
Women,Shirt,Đồ tập yoga,Yogawear,www.maisononline.vn/collections/do-tap-yoga-nu,published
Women,Trousers,Quần legging thể thao,Performance Leggings,www.maisononline.vn/collections/quan-leggings-nu-do-the-thao,published
Women,Trousers,Quần dài ống rộng,Sports Wide-Leg Pants,www.maisononline.vn/collections/quan-dai-ong-rong-nu,published
Women,Trousers,Quần dài tập luyện,Performance Track Pants,www.maisononline.vn/collections/quan-dai-tap-luyen-nu,published
Women,Trousers,Quần short chạy bộ,Running Shorts,www.maisononline.vn/collections/quan-short-chay-bo-nu,published
Women,Trousers,Quần short ống rộng,Sports Wide-Leg Shorts,www.maisononline.vn/collections/quan-short-ong-rong-nu-do-the-thao,published
Women,Trousers,Quần short tập luyện,Performance Track Shorts,www.maisononline.vn/collections/quan-short-tap-luyen-nu,published
Women,Trousers,Quần short legging thể thao,Cycling Shorts,www.maisononline.vn/collections/quan-short-legging-nu-do-the-thao,published
Women,Skirt,Váy mini,Mini Skirts,www.maisononline.vn/collections/vay-mini-the-thao-nu,published
Women,Accessories,Găng tay,Gloves,www.maisononline.vn/collections/gang-tay-nu,published
Women,Accessories,Bình nước thể thao,Sports Water Bottles,www.maisononline.vn/collections/binh-nuoc-nu-do-the-thao,published
Women,Bag,Túi trống thể thao,Duffle Bags,www.maisononline.vn/collections/tui-trong-the-thao-nu,published
Women,Accessories,Dụng cụ thể thao,Sports Equipment,www.maisononline.vn/collections/dung-cu-the-thao-nu,published
Unisex,Trousers,Quần dài ống rộng,Wide-Leg Pants,www.maisononline.vn/collections/quan-dai-ong-rong-unisex,published
Unisex,Trousers,Quần short ống rộng,Knee-Length Shorts,www.maisononline.vn/collections/quan-short-ong-rong-unisex,published
Unisex,Bag,Túi đựng giày,Shoe Bags,www.maisononline.vn/collections/tui-dung-giay-nam,published
Women,Skirt,Váy mini,Mini Skirts,www.maisononline.vn/collections/vay-ngan-mini,published
Women,Skirt,Váy midi,Midi Skirts,www.maisononline.vn/collections/vay-lung-midi,published
Women,Skirt,Váy maxi,Maxi Skirts,www.maisononline.vn/collections/vay-dai-maxi,published
Women,Skirt,Váy xếp li,Pleated Skirts,www.maisononline.vn/collections/vay-xep-li,published
Women,Skirt,Váy chữ A,A-Line Skirts,www.maisononline.vn/collections/vay-chu-a,published
Women,Skirt,Váy bút chì,Pencil Skirts,www.maisononline.vn/collections/vay-but-chi,published
Women,Skirt,Váy dệt kim,Knitted Skirts,www.maisononline.vn/collections/vay-det-kim,published
Women,Skirt,Váy xếp tầng,Frill Skirts,www.maisononline.vn/collections/vay-xep-tang,published
Women,Skirt,Váy denim,Denim Skirts,www.maisononline.vn/collections/vay-denim,published
Women,Skirt,Váy phom suông,Straight Skirts,www.maisononline.vn/collections/vay-phom-suong,published
Women,Skirt,Váy quấn,Wrap Dresses,www.maisononline.vn/collections/vay-quan,published
Women,Dress,Đầm mini,Mini Dresses,www.maisononline.vn/collections/dam-ngan-mini,published
Women,Dress,Đầm midi,Midi Dresses,www.maisononline.vn/collections/dam-lung-midi,published
Women,Dress,Đầm maxi,Maxi Dresses,www.maisononline.vn/collections/dam-dai-maxi,published
Women,Dress,Đầm hai dây,Sundresses,www.maisononline.vn/collections/dam-hai-day,published
Women,Dress,Đầm sơ mi,Shirt Dresses,www.maisononline.vn/collections/dam-so-mi,published
Women,Dress,Đầm dệt kim,Denim Dresses,www.maisononline.vn/collections/dam-det-kim,published
Women,Dress,Đầm sát nách,Sleeveless Dresses,www.maisononline.vn/collections/dam-sat-nach,published
Women,Dress,Đầm cut out,Cut out Dresses,www.maisononline.vn/collections/dam-xe-cut-out,published
